,Object ID,Title,Post Type,Author,Created At,URL,Points,Number of Comments
2294635,16043786,Top Hacker News Books in 2017,story,0x54MUR41,2018-01-01 0:06,https://hackernewsbooks.com/year/2017,1,0
2294636,16043817,Beijing enjoys best winter air quality in five years,story,gpetukhov,2018-01-01 0:15,http://www.scmp.com/news/china/policies-politics/article/2126104/beijing-enjoys-best-winter-air-quality-five-years#comments,2,0
2294637,16043825,Ask HN: Any domain name registrars that don't require JavaScript?,ask_hn,glockenspielen,2018-01-01 0:16,,1,2
2294638,16043845,"Controversial Therapy Has Led to Death Threats, Harassment and Pseudoscience",story,cpncrunch,2018-01-01 0:23,https://www.buzzfeed.com/tomchivers/inside-the-controversial-therapy-for-chronic-fatigue?utm_term=.hhvJ82eqm#.gx0OxV1RL,2,0
2294639,16043851,Ruby 3x3 – Ruby 3 Will Be 3 Times Faster – What's News?,story,geraldbauer,2018-01-01 0:25,https://planetruby.github.io/advent2017/ruby3x3,2,0
2294640,16043858,Breaking the Glass Level Cap,story,CodeLikeAGirl,2018-01-01 0:26,https://code.likeagirl.io/breaking-the-glass-level-cap-20970dd06904,1,0
2294641,16043860,Hundreds of Pterosaur Eggs Found in Record-Breaking Fossil Haul,story,caio1982,2018-01-01 0:26,https://news.nationalgeographic.com/2017/11/largest-pterosaurs-eggs-discovered-embryos-fossils-paleontology-science/,24,2
2294642,16043889,Shop without stop with new supermarket trolley (1996),story,marcopolis,2018-01-01 0:34,http://www.independent.co.uk/news/shop-without-stop-with-new-supermarket-trolley-1306941.html,2,0
2294643,16043891,Simplecoin site is now iota teaching tool,story,andrewfromx,2018-01-01 0:34,https://simplecoin.life/,8,0
2294644,16043968,Ask HN: How would you improve Facebooks Event feature?,ask_hn,philippnagel,2018-01-01 0:55,,1,0
2294645,16043972,The Mysterious Case of the Linux Page Table Isolation Patches,story,_wmd,2018-01-01 0:55,http://pythonsweetness.tumblr.com/post/169166980422/the-mysterious-case-of-the-linux-page-table,4,0
2294646,16043981,Terminal: How the airport came to embody our national psychosis,story,jseliger,2018-01-01 0:59,http://www.slate.com/articles/business/cover_story/2017/09/how_airports_became_temples_of_our_national_fear_fueled_psychosis.html,97,73
2294647,16043990,Ask HN: What technical due diligence do you perform before M&A?,ask_hn,crdb,2018-01-01 1:01,,6,0
2294648,16044004,ISP protester's problem solved by police called to remove him from store,story,tankenmate,2018-01-01 1:06,http://www.smh.com.au/business/consumer-affairs/police-called-to-remove-man-from-telstra-store-instead-solve-his-internet-crisis-20171231-h0btca.html,64,27
2294649,16044008,Show HN: Acme Blogs,show_hn,gerges-beshay,2018-01-01 1:06,https://acme.center/blogs,1,6
2294650,16044013,"Cixl – a minimal, decently typed scripting language",story,sifoo,2018-01-01 1:08,https://github.com/basic-gongfu/cixl,1,0
2294651,16044056,2min Demo of How a Decentralized Twitter Could Work with Encryption [video],story,marknadal,2018-01-01 1:19,https://www.youtube.com/watch?v=52Z72bDCtMU,1,0
2294652,16044063,"Iran Moves to Block Social Media Apps, Mobile Networks as Protests Spread",story,ourmandave,2018-01-01 1:22,https://gizmodo.com/iran-moves-to-block-social-media-apps-mobile-networks-1821680686,7,0
2294653,16044085,When volcanic ash stopped a Jumbo at 37000 feet (2010),story,andrewshadura,2018-01-01 1:26,http://news.bbc.co.uk/2/hi/uk_news/magazine/8622099.stm,78,34
2294654,16044093,Show HN: Altco – Simple crypto ticker for chrome,show_hn,dope,2018-01-01 1:27,https://chrome.google.com/webstore/detail/altco/dlmjmklpkfldkhbfkkhbnegfiacaognj,1,0
2294655,16044109,Ask HN: What do you want to learn in 2018?,ask_hn,tmaly,2018-01-01 1:32,,9,5
2294656,16044124,The complexity of obtaining blood for people with the rarest blood types (2014),story,daegloe,2018-01-01 1:38,https://www.theatlantic.com/health/archive/2014/10/the-most-precious-blood-on-earth/381911/?single_page=true,41,3
2294657,16044133,Discord community chatroom,story,fileply,2018-01-01 1:39,,1,0
2294658,16044147,Judging a photo’s quality using Machine Learning techniques,story,mongodude,2018-01-01 1:43,http://blog.paralleldots.com/featured/understanding-visual-aesthetics-a-machine-learning-approach/,1,0
2294659,16044172,Show HN: Learn how mouse events in browsers work,show_hn,alexbecker,2018-01-01 1:49,https://alexcbecker.net/demos/click_events.html,4,0
2294660,16044173,PLIRUS Job Board,story,dev2point0,2018-01-01 1:49,http://plir.us/,1,0
2294661,16044176,Happy New Year HN,story,alva,2018-01-01 1:49,,3,0
2294662,16044184,The 7 Most Important Scientific Breakthroughs of 2017,story,SQL2219,2018-01-01 1:51,http://www.visualcapitalist.com/7-important-scientific-breakthroughs-2017/,3,0
2294663,16044200,Ask HN: Is there room for a non-profit computer science degree provider?,ask_hn,trcollinson,2018-01-01 1:56,,39,30
